SystemTime_ISO,MsgType,FC_Time_us,alt,hdg,lat,lon,mavpackettype,relative_alt,vx,vy,vz
2025-12-14 23:49:52.565,GLOBAL_POSITION_INT,101400,0,9619,0,0,GLOBAL_POSITION_INT,-2503,0,3,0
2025-12-14 23:49:52.665,GLOBAL_POSITION_INT,101500,0,9621,0,0,GLOBAL_POSITION_INT,-2343,0,3,0
2025-12-14 23:49:52.765,GLOBAL_POSITION_INT,101600,0,9623,0,0,GLOBAL_POSITION_INT,-2613,0,3,0
2025-12-14 23:49:52.865,GLOBAL_POSITION_INT,101700,0,9625,0,0,GLOBAL_POSITION_INT,-2327,0,3,0
2025-12-14 23:49:52.965,GLOBAL_POSITION_INT,101800,0,9627,0,0,GLOBAL_POSITION_INT,-2448,0,3,0
2025-12-14 23:49:53.065,GLOBAL_POSITION_INT,101900,0,9629,0,0,GLOBAL_POSITION_INT,-2558,0,3,0
2025-12-14 23:49:53.165,GLOBAL_POSITION_INT,102000,0,9631,0,0,GLOBAL_POSITION_INT,-2376,0,3,0
2025-12-14 23:49:53.265,GLOBAL_POSITION_INT,102100,0,9633,0,0,GLOBAL_POSITION_INT,-2662,0,3,0
2025-12-14 23:49:53.365,GLOBAL_POSITION_INT,102200,0,9636,0,0,GLOBAL_POSITION_INT,-2514,0,3,0
2025-12-14 23:49:53.465,GLOBAL_POSITION_INT,102300,0,9637,0,0,GLOBAL_POSITION_INT,-2409,0,3,0
2025-12-14 23:49:53.565,GLOBAL_POSITION_INT,102400,0,9639,0,0,GLOBAL_POSITION_INT,-2387,0,3,0
2025-12-14 23:49:53.665,GLOBAL_POSITION_INT,102500,0,9641,0,0,GLOBAL_POSITION_INT,-2294,0,3,0
2025-12-14 23:49:53.765,GLOBAL_POSITION_INT,102600,0,9642,0,0,GLOBAL_POSITION_INT,-2459,0,3,0
2025-12-14 23:49:53.865,GLOBAL_POSITION_INT,102700,0,9644,0,0,GLOBAL_POSITION_INT,-2409,0,3,0
2025-12-14 23:49:53.966,GLOBAL_POSITION_INT,102800,0,9646,0,0,GLOBAL_POSITION_INT,-2563,0,3,0
2025-12-14 23:49:54.065,GLOBAL_POSITION_INT,102900,0,9649,0,0,GLOBAL_POSITION_INT,-2646,0,3,0
2025-12-14 23:49:54.165,GLOBAL_POSITION_INT,103000,0,9651,0,0,GLOBAL_POSITION_INT,-2618,0,3,0
2025-12-14 23:49:54.265,GLOBAL_POSITION_INT,103100,0,9653,0,0,GLOBAL_POSITION_INT,-2464,0,3,0
2025-12-14 23:49:54.365,GLOBAL_POSITION_INT,103200,0,9655,0,0,GLOBAL_POSITION_INT,-2343,0,3,0
2025-12-14 23:49:54.465,GLOBAL_POSITION_INT,103300,0,9657,0,0,GLOBAL_POSITION_INT,-2651,0,3,0
2025-12-14 23:49:54.565,GLOBAL_POSITION_INT,103400,0,9659,0,0,GLOBAL_POSITION_INT,-2415,0,3,0
2025-12-14 23:49:54.665,GLOBAL_POSITION_INT,103500,0,9660,0,0,GLOBAL_POSITION_INT,-2387,0,3,0
2025-12-14 23:49:54.765,GLOBAL_POSITION_INT,103600,0,9661,0,0,GLOBAL_POSITION_INT,-2470,0,3,0
2025-12-14 23:49:54.865,GLOBAL_POSITION_INT,103700,0,9663,0,0,GLOBAL_POSITION_INT,-2387,0,3,0
