SystemTime_ISO,MsgType,FC_Time_us,landed_state,mavpackettype,vtol_state
2025-12-14 23:49:58.575,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.674,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.776,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.868,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:58.969,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.070,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.169,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.269,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.369,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.470,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.570,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.669,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.769,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.869,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:49:59.969,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.069,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.169,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.269,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.369,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.469,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.569,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.669,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.769,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.870,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:00.969,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.069,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.169,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.269,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.369,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.469,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.571,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.669,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.769,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.869,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
2025-12-14 23:50:01.969,EXTENDED_SYS_STATE,0,1,EXTENDED_SYS_STATE,3
