SystemTime_ISO,MsgType,FC_Time_us,battery_remaining,current_battery,drop_rate_comm,errors_comm,errors_count1,errors_count2,errors_count3,errors_count4,load,mavpackettype,onboard_control_sensors_enabled,onboard_control_sensors_health,onboard_control_sensors_present,voltage_battery
2025-12-15 00:27:09.434,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,237,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:09.534,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:09.634,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,238,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:09.734,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,237,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:09.834,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,237,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:09.934,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,241,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.034,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.133,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,243,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.234,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,242,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.334,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,241,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.434,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.534,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,242,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.634,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,237,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.733,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.834,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,237,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:10.934,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,236,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.034,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,236,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.134,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,238,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.234,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.334,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.433,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.533,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,241,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.634,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,242,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.733,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,243,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.833,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:11.933,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,242,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.033,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.133,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.234,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.333,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,241,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.433,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,238,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.533,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,237,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.633,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,238,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.733,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.834,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:12.933,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.034,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.134,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.234,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,244,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.334,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,242,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.434,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.534,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,242,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.634,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.734,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,241,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.834,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,240,SYS_STATUS,1348475919,1198562319,1467022351,0
2025-12-15 00:27:13.934,SYS_STATUS,0,-1,-1,0,0,0,0,0,0,239,SYS_STATUS,1348475919,1198562319,1467022351,0
