SystemTime_ISO,MsgType,FC_Time_us,airspeed,airspeed_sp,altitude,autopilot,battery,climb_rate,custom0,custom1,custom2,custom_mode,eph,epv,failure_flags,groundspeed,heading,latitude,longitude,mavpackettype,target_altitude,target_distance,target_heading,temperature_air,throttle,type,wind_heading,windspeed,wp_num
2025-12-15 00:39:28.021,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.124,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.221,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.321,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.421,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.521,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.621,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.721,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.821,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:28.921,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.021,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.121,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.221,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.321,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.421,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.521,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.621,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.721,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.821,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:29.921,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.021,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.121,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.221,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.321,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.421,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.521,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.621,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.721,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.821,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:30.921,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
2025-12-15 00:39:31.021,HIGH_LATENCY2,0,0,0,0,3,-1,0,81,0,0,0,0,0,259,0,49,0,0,HIGH_LATENCY2,1,0,0,-128,0,2,0,0,0
