12-15-2025 13:04:07 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1905,1%@1906,0%@1908,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@30C AO@29C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3333mW VDD_CPU_GPU_CV 413mW/402mW VDD_SOC 1323mW/1326mW
12-15-2025 13:04:08 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [2%@1907,0%@1907,0%@1909,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3333mW VDD_CPU_GPU_CV 372mW/401mW VDD_SOC 1323mW/1326mW
12-15-2025 13:04:09 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1897,0%@1904,0%@1907,0%@1905,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3332mW VDD_CPU_GPU_CV 372mW/400mW VDD_SOC 1323mW/1326mW
12-15-2025 13:04:10 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [2%@1907,1%@1906,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3390mW/3333mW VDD_CPU_GPU_CV 454mW/402mW VDD_SOC 1320mW/1325mW
12-15-2025 13:04:11 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1905,0%@1907,0%@1906,0%@1899,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3333mW VDD_CPU_GPU_CV 372mW/401mW VDD_SOC 1320mW/1325mW
12-15-2025 13:04:12 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,2%@1907,0%@1906,0%@1906,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3332mW VDD_CPU_GPU_CV 372mW/400mW VDD_SOC 1323mW/1325mW
12-15-2025 13:04:13 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1907,0%@1906,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.6C AO@29.5C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3331mW VDD_CPU_GPU_CV 372mW/399mW VDD_SOC 1323mW/1325mW
12-15-2025 13:04:14 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1906,0%@1908,0%@1908,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.8C AO@29C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3331mW VDD_CPU_GPU_CV 372mW/399mW VDD_SOC 1323mW/1325mW
12-15-2025 13:04:15 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [1%@1906,0%@1897,0%@1907,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.6C AO@29C GPU@29C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3330mW VDD_CPU_GPU_CV 372mW/398mW VDD_SOC 1320mW/1325mW
12-15-2025 13:04:16 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1903,0%@1906,0%@1907,0%@1909,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.65C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3266mW/3329mW VDD_CPU_GPU_CV 372mW/397mW VDD_SOC 1320mW/1325mW
12-15-2025 13:04:17 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [0%@1905,0%@1906,0%@1906,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29C CPU@31C thermal@29.6C AO@29C GPU@28.5C iwlwifi@32C PMIC@50C VDD_IN 3307mW/3328mW VDD_CPU_GPU_CV 372mW/397mW VDD_SOC 1320mW/1325mW
12-15-2025 13:04:18 RAM 572/6854MB (lfb 1411x4MB) SWAP 0/3427MB (cached 0MB) CPU [2%@1908,2%@1909,1%@1915,0%@1907,off,off] EMC_FREQ 0%@1866 GR3D_FREQ 0%@[510] VIC_FREQ 601 APE 150 AUX@29.5C CPU@31C thermal@29.65C AO@29C GPU@29C iwlwifi@34C PMIC@50C VDD_IN 3348mW/3329mW VDD_CPU_GPU_CV 413mW/397mW VDD_SOC 1323mW/1325mW
