SystemTime_ISO,MsgType,FC_Time_us,body_pitch_rate,body_roll_rate,body_yaw_rate,mavpackettype,q,thrust,type_mask
2025-12-15 01:43:35.459,ATTITUDE_TARGET,4181442,-3.167542672599666e-05,3.473715332802385e-05,-1.6504712874176874e-10,ATTITUDE_TARGET,"[0.6554386019706726, -3.5018167636735598e-06, -4.105414177502098e-07, 0.7552484273910522]",0.0,0
2025-12-15 01:43:35.559,ATTITUDE_TARGET,4181542,-3.167543400195427e-05,3.473716787993908e-05,-1.650472258862834e-10,ATTITUDE_TARGET,"[0.6554247736930847, -3.5018099424632965e-06, -4.106059918740357e-07, 0.7552605867385864]",0.0,0
2025-12-15 01:43:35.659,ATTITUDE_TARGET,4181642,-3.1675430363975465e-05,3.473716424196027e-05,-1.6504719813070778e-10,ATTITUDE_TARGET,"[0.655429482460022, -3.501812216200051e-06, -4.1058419242290256e-07, 0.7552564740180969]",0.0,0
2025-12-15 01:43:35.759,ATTITUDE_TARGET,4181742,-3.167541581206024e-05,3.4737149690045044e-05,-1.650470454750419e-10,ATTITUDE_TARGET,"[0.6554602384567261, -3.5018279049836565e-06, -4.104410038507922e-07, 0.755229651927948]",0.0,0
2025-12-15 01:43:35.859,ATTITUDE_TARGET,4181842,-3.1675430363975465e-05,3.473715332802385e-05,-1.6504715649734436e-10,ATTITUDE_TARGET,"[0.6554701924324036, -3.501833816699218e-06, -4.1039515963348094e-07, 0.7552211284637451]",0.0,0
2025-12-15 01:43:35.959,ATTITUDE_TARGET,4181944,-3.167543400195427e-05,3.473716787993908e-05,-1.650472258862834e-10,ATTITUDE_TARGET,"[0.6554582715034485, -3.501828132357332e-06, -4.104508093405457e-07, 0.755231499671936]",0.0,0
2025-12-15 01:43:36.060,ATTITUDE_TARGET,4182044,-3.1675419450039044e-05,3.4737160603981465e-05,-1.6504712874176874e-10,ATTITUDE_TARGET,"[0.6554250717163086, -3.5018094877159456e-06, -4.106045992102736e-07, 0.755260169506073]",0.0,0
2025-12-15 01:43:36.159,ATTITUDE_TARGET,4182142,-3.1675430363975465e-05,3.473716424196027e-05,-1.6504719813070778e-10,ATTITUDE_TARGET,"[0.655400276184082, -3.5017965274164453e-06, -4.10719593446629e-07, 0.7552817463874817]",0.0,0
2025-12-15 01:43:36.259,ATTITUDE_TARGET,4182244,-3.167541217408143e-05,3.4737149690045044e-05,-1.650470315972541e-10,ATTITUDE_TARGET,"[0.655379056930542, -3.501783567116945e-06, -4.1081770518758276e-07, 0.7553001046180725]",0.0,0
2025-12-15 01:43:36.359,ATTITUDE_TARGET,4182342,-3.167541217408143e-05,3.4737149690045044e-05,-1.650470315972541e-10,ATTITUDE_TARGET,"[0.6553810834884644, -3.501784476611647e-06, -4.10808411288599e-07, 0.755298376083374]",0.0,0
2025-12-15 01:43:36.459,ATTITUDE_TARGET,4182442,-3.167541581206024e-05,3.473715332802385e-05,-1.650470593528297e-10,ATTITUDE_TARGET,"[0.6553896069526672, -3.501789251458831e-06, -4.107690472210379e-07, 0.7552910447120667]",0.0,0
2025-12-15 01:43:36.559,ATTITUDE_TARGET,4182542,-3.167541217408143e-05,3.4737160603981465e-05,-1.6504708710840532e-10,ATTITUDE_TARGET,"[0.6553987264633179, -3.5017944810533663e-06, -4.1072757994697895e-07, 0.7552831172943115]",0.0,0
