SystemTime_ISO,MsgType,FC_Time_us,I2Cerr,Vcc,mavpackettype
2025-12-14 21:36:49.874,HWSTATUS,0,0,5264,HWSTATUS
2025-12-14 21:36:49.896,HWSTATUS,0,0,5264,HWSTATUS
2025-12-14 21:36:49.915,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:49.934,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:49.954,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:49.975,HWSTATUS,0,0,5264,HWSTATUS
2025-12-14 21:36:49.995,HWSTATUS,0,0,5259,HWSTATUS
2025-12-14 21:36:50.015,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:50.033,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:50.054,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:50.075,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:50.095,HWSTATUS,0,0,5264,HWSTATUS
2025-12-14 21:36:50.115,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:50.134,HWSTATUS,0,0,5252,HWSTATUS
2025-12-14 21:36:50.155,HWSTATUS,0,0,5249,HWSTATUS
2025-12-14 21:36:50.175,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:50.195,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:50.215,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:50.234,HWSTATUS,0,0,5264,HWSTATUS
2025-12-14 21:36:50.255,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:50.275,HWSTATUS,0,0,5253,HWSTATUS
2025-12-14 21:36:50.295,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:50.314,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:50.334,HWSTATUS,0,0,5265,HWSTATUS
2025-12-14 21:36:50.354,HWSTATUS,0,0,5261,HWSTATUS
2025-12-14 21:36:50.374,HWSTATUS,0,0,5262,HWSTATUS
2025-12-14 21:36:50.394,HWSTATUS,0,0,5258,HWSTATUS
2025-12-14 21:36:50.414,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:50.434,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:50.454,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:50.475,HWSTATUS,0,0,5260,HWSTATUS
2025-12-14 21:36:50.495,HWSTATUS,0,0,5255,HWSTATUS
2025-12-14 21:36:50.514,HWSTATUS,0,0,5256,HWSTATUS
2025-12-14 21:36:50.535,HWSTATUS,0,0,5257,HWSTATUS
2025-12-14 21:36:50.554,HWSTATUS,0,0,5255,HWSTATUS
