SystemTime_ISO,MsgType,FC_Time_us,autopilot,base_mode,custom_mode,mavlink_version,mavpackettype,system_status,type
2025-12-14 21:38:50.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:51.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:52.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:53.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:54.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:55.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:56.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:57.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:58.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:38:59.342,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:00.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:01.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:02.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:03.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:04.344,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:05.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:06.344,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:07.344,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:08.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:09.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:10.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:11.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:12.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:13.343,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:14.344,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:15.344,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
2025-12-14 21:39:16.344,HEARTBEAT,0,3,81,0,3,HEARTBEAT,3,2
